StudyInstanceUID,fold
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,3
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,3
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,0
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,3
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,0
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,0
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,3
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,3
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,0
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,4
1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394,1
1.2.826.0.1.3680043.8.498.10029168398037940681915299760479434938,0
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,3
1.2.826.0.1.3680043.8.498.10039686090738454718354181337513293981,1
1.2.826.0.1.3680043.8.498.10048842414095994814596043262132965018,2
1.2.826.0.1.3680043.8.498.10058298717414171145622092128156266866,4
1.2.826.0.1.3680043.8.498.10059200627175320481920009076697103801,4
1.2.826.0.1.3680043.8.498.10061120822929703004201627784850458401,3
1.2.826.0.1.3680043.8.498.10064642360075735959136394136507408269,2
1.2.826.0.1.3680043.8.498.10066945398485042741116657288959323922,0
1.2.826.0.1.3680043.8.498.10077497528995409346950814927366582736,2
1.2.826.0.1.3680043.8.498.10077803906105306230229342168184970097,0
1.2.826.0.1.3680043.8.498.10081117556977868957150377234052259018,2
1.2.826.0.1.3680043.8.498.10085187975213640798228717119613397941,3
1.2.826.0.1.3680043.8.498.10087350795575215080051569638065974347,2
1.2.826.0.1.3680043.8.498.10088120558600684332737135714636269365,0
1.2.826.0.1.3680043.8.498.10088707526476055079083082931629995449,4
1.2.826.0.1.3680043.8.498.10090136633727522725960302994815319097,3
1.2.826.0.1.3680043.8.498.10090631811016939819371208464230332678,1
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,3
1.2.826.0.1.3680043.8.498.10096063158753121251217031021181036863,2
1.2.826.0.1.3680043.8.498.10096216489317602387766193675918767557,2
1.2.826.0.1.3680043.8.498.10096919689272424388113819845481617364,2
1.2.826.0.1.3680043.8.498.10100718559177860518999368876392117659,2
1.2.826.0.1.3680043.8.498.10112440805412493412191181061985753636,0
1.2.826.0.1.3680043.8.498.10118623027360228027776975311765133100,0
1.2.826.0.1.3680043.8.498.10120841513315425967980213160839994882,3
1.2.826.0.1.3680043.8.498.10121558854084271154265851933273260339,0
1.2.826.0.1.3680043.8.498.10123751739767586025744123799948754343,3
1.2.826.0.1.3680043.8.498.10124063607403942330156450768015985834,0
1.2.826.0.1.3680043.8.498.10124701778993602117271554854098856833,1
1.2.826.0.1.3680043.8.498.10128954897472795975323353442305671586,3
1.2.826.0.1.3680043.8.498.10129462959695121379466274688956171166,0
1.2.826.0.1.3680043.8.498.10132169498032330070492330913783717864,2
1.2.826.0.1.3680043.8.498.10133843191898064967257276100779798471,1
1.2.826.0.1.3680043.8.498.10135587809070718435691939321937314104,3
1.2.826.0.1.3680043.8.498.10136486417446492428821313562961937182,2
1.2.826.0.1.3680043.8.498.10143536655047216390592811329604738314,2
1.2.826.0.1.3680043.8.498.10144735099702632881322032871591573824,3
1.2.826.0.1.3680043.8.498.10147180484860577398303524379319212586,4
1.2.826.0.1.3680043.8.498.10147717839726734017869499799005084725,4
1.2.826.0.1.3680043.8.498.10148037169326559689992758180208780221,1
1.2.826.0.1.3680043.8.498.10148517526101576084961355066637531019,0
1.2.826.0.1.3680043.8.498.10149967031679082348901055550415519790,1
1.2.826.0.1.3680043.8.498.10150914432481980534086434136814789205,3
1.2.826.0.1.3680043.8.498.10155611590208164695256621422536643320,4
1.2.826.0.1.3680043.8.498.10157549662917062273945150928668828930,3
1.2.826.0.1.3680043.8.498.10158178668962379857908493434842864484,3
1.2.826.0.1.3680043.8.498.10159551371305936155888341171022480536,0
1.2.826.0.1.3680043.8.498.10161011217774350674534600439166319161,1
1.2.826.0.1.3680043.8.498.10162168547770229150261479353227398478,1
1.2.826.0.1.3680043.8.498.10162720374291180196973998234794414415,3
1.2.826.0.1.3680043.8.498.10165669527316708372190215034240922433,3
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,4
1.2.826.0.1.3680043.8.498.10181119664728335020976262955776463973,2
1.2.826.0.1.3680043.8.498.10181291283712008544475048457589664787,3
1.2.826.0.1.3680043.8.498.10182565688010898600749222617373997197,0
1.2.826.0.1.3680043.8.498.10183939841890895037058579455663880292,0
1.2.826.0.1.3680043.8.498.10189392162056736163704940747328177364,0
1.2.826.0.1.3680043.8.498.10190506315646895064803936408630113507,0
1.2.826.0.1.3680043.8.498.10197515493414564227930855210542221039,3
1.2.826.0.1.3680043.8.498.10197565004992937722841731691775578390,3
1.2.826.0.1.3680043.8.498.10199522802568420589167284753473646773,2
1.2.826.0.1.3680043.8.498.10201197020583611347810070328854760801,2
1.2.826.0.1.3680043.8.498.10201660732108909756259359440298787775,3
1.2.826.0.1.3680043.8.498.10205592316907266136938526795826751183,4
1.2.826.0.1.3680043.8.498.10207134048598925821261298801127950516,2
1.2.826.0.1.3680043.8.498.10209387047693448282446870911381660585,3
1.2.826.0.1.3680043.8.498.10211034309703220222647821582770542129,2
1.2.826.0.1.3680043.8.498.10211815027850731240126403602239595062,4
1.2.826.0.1.3680043.8.498.10218285921271312931891912812808052375,1
1.2.826.0.1.3680043.8.498.10218458664774126578027318307405130821,4
1.2.826.0.1.3680043.8.498.10229223546412441924801428332647762115,3
1.2.826.0.1.3680043.8.498.10239418182819270860819533058081041576,4
1.2.826.0.1.3680043.8.498.10240166440044087554182120832488098189,2
1.2.826.0.1.3680043.8.498.10240237086492917349933491458808329326,0
1.2.826.0.1.3680043.8.498.10241639721703882165429374175491428414,4
1.2.826.0.1.3680043.8.498.10243300429607935614655219482457289307,4
1.2.826.0.1.3680043.8.498.10247930792182001003497189021027466833,3
1.2.826.0.1.3680043.8.498.10252121617380434672930525780360219531,1
1.2.826.0.1.3680043.8.498.10252163031705285141538200795896549203,1
1.2.826.0.1.3680043.8.498.10254828365033984708960944586564394286,1
1.2.826.0.1.3680043.8.498.10255067212695306715722782826234429766,2
1.2.826.0.1.3680043.8.498.10256441455107860474283716992657597873,0
1.2.826.0.1.3680043.8.498.10261794102024899290234062909324134903,3
1.2.826.0.1.3680043.8.498.10262024906324456863812446480254600405,0
1.2.826.0.1.3680043.8.498.10262784969531507133353458615303007839,2
1.2.826.0.1.3680043.8.498.10271567891603078238024189515805908561,3
1.2.826.0.1.3680043.8.498.10273861326753707436672556008991334542,3
1.2.826.0.1.3680043.8.498.10274314637471308855247991547659839029,2
1.2.826.0.1.3680043.8.498.10274956886032850418742861294277331382,4
1.2.826.0.1.3680043.8.498.10275265831651276229168539541982478639,0
1.2.826.0.1.3680043.8.498.10284263494252700630857173843779724077,0
1.2.826.0.1.3680043.8.498.10284446538566255572004044331831825072,2
1.2.826.0.1.3680043.8.498.10287488031206457680758379452936914669,2
1.2.826.0.1.3680043.8.498.10299396087685174806129850512856451005,2
1.2.826.0.1.3680043.8.498.10299618611626190927173051117228647808,3
1.2.826.0.1.3680043.8.498.10301089872627496769249366231947887097,1
1.2.826.0.1.3680043.8.498.10304242666970626179776896768140580106,4
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,4
1.2.826.0.1.3680043.8.498.10309477218703786877612946261946268132,4
1.2.826.0.1.3680043.8.498.10310831394568337664174691281092566272,0
1.2.826.0.1.3680043.8.498.10312350714164739081126996907250465738,2
1.2.826.0.1.3680043.8.498.10314240078685804110739316196999571466,0
1.2.826.0.1.3680043.8.498.10318366890716843554246682186865048846,1
1.2.826.0.1.3680043.8.498.10321461243762453573005633063753741725,2
1.2.826.0.1.3680043.8.498.10321556388278642027434955207617064548,0
1.2.826.0.1.3680043.8.498.10321702681363532511953946967334431952,1
1.2.826.0.1.3680043.8.498.10322724865012212544754724404226583315,3
1.2.826.0.1.3680043.8.498.10322853084122920408377349136830993432,2
1.2.826.0.1.3680043.8.498.10326352669696598934883805147731461341,2
1.2.826.0.1.3680043.8.498.10327608571317884761792196888985963332,3
1.2.826.0.1.3680043.8.498.10330805760778577501878048995484987687,1
1.2.826.0.1.3680043.8.498.10336221220793312503236159680373829726,2
1.2.826.0.1.3680043.8.498.10336300544286006569730381727202519821,3
1.2.826.0.1.3680043.8.498.10339654093023509742663983374586998753,3
1.2.826.0.1.3680043.8.498.10348611327224519953673858098392135936,3
1.2.826.0.1.3680043.8.498.10349368332722015923160611226877741306,4
1.2.826.0.1.3680043.8.498.10351168527688244230248760520733020605,4
1.2.826.0.1.3680043.8.498.10351460911387106879135924409514835385,3
1.2.826.0.1.3680043.8.498.10352011938574988727803498915608467179,0
1.2.826.0.1.3680043.8.498.10352044313309892076985642485759368197,1
1.2.826.0.1.3680043.8.498.10354576637002647863048798607011636355,0
1.2.826.0.1.3680043.8.498.10361030765327974510262894062047216433,1
1.2.826.0.1.3680043.8.498.10370612191212456931506340727148605247,2
1.2.826.0.1.3680043.8.498.10371162371589200772388569623043753617,1
1.2.826.0.1.3680043.8.498.10374791734880310643587680407133671218,3
1.2.826.0.1.3680043.8.498.10378535286770237477615181844634903700,0
1.2.826.0.1.3680043.8.498.10382074558506016193900889176239337801,2
1.2.826.0.1.3680043.8.498.10386894500329189457070808193345170500,4
1.2.826.0.1.3680043.8.498.10387227472110643414333498953513810066,3
1.2.826.0.1.3680043.8.498.10387383212921524066516723428665512341,2
1.2.826.0.1.3680043.8.498.10387876708310019345913209598612198432,0
1.2.826.0.1.3680043.8.498.10391178814963564201551003358372148419,0
1.2.826.0.1.3680043.8.498.10395211177230760565674811878437948933,3
1.2.826.0.1.3680043.8.498.10401813253995823397883215400000450724,1
1.2.826.0.1.3680043.8.498.10402431429660337753694827208437698007,4
1.2.826.0.1.3680043.8.498.10405028141768633100332386157519916334,4
1.2.826.0.1.3680043.8.498.10407865232593182855530878478701744409,3
1.2.826.0.1.3680043.8.498.10409870090434047408497289167124673434,3
1.2.826.0.1.3680043.8.498.10415616591430643294142401482460086713,1
1.2.826.0.1.3680043.8.498.10417042894702157309437002434676100667,1
1.2.826.0.1.3680043.8.498.10418888172081069709796646795446885715,3
1.2.826.0.1.3680043.8.498.10419958821528108176389641942168280311,3
1.2.826.0.1.3680043.8.498.10419993051271996183722192755371692029,2
1.2.826.0.1.3680043.8.498.10422130685453254363700365908336246863,2
1.2.826.0.1.3680043.8.498.10422536395266111565753575369125069689,2
1.2.826.0.1.3680043.8.498.10423586531262405323219596291234698626,1
1.2.826.0.1.3680043.8.498.10425131723456547056365404016184663035,3
1.2.826.0.1.3680043.8.498.10427893579790102216163565692202919399,3
1.2.826.0.1.3680043.8.498.10429032846672074760218668873927822056,0
1.2.826.0.1.3680043.8.498.10432568348356281020515782178064869805,4
1.2.826.0.1.3680043.8.498.10434135978927658622039675788413759069,2
1.2.826.0.1.3680043.8.498.10440858363080910322920496514558347561,3
1.2.826.0.1.3680043.8.498.10442828926117258624043497279351962738,0
1.2.826.0.1.3680043.8.498.10445893053733106322562086357169418409,0
1.2.826.0.1.3680043.8.498.10447920208680921688438738178539475509,0
1.2.826.0.1.3680043.8.498.10454875772176439944597553400963295397,4
1.2.826.0.1.3680043.8.498.10455589411958266725060942213473374667,2
1.2.826.0.1.3680043.8.498.10459044164648238749799867924228983674,4
1.2.826.0.1.3680043.8.498.10459901081962705567398560859229437818,2
1.2.826.0.1.3680043.8.498.10470282959537049979906878778884086884,2
1.2.826.0.1.3680043.8.498.10472519452146922631626638652503679695,2
1.2.826.0.1.3680043.8.498.10475397432011699698577978597417345091,2
1.2.826.0.1.3680043.8.498.10485026284343436524865922231113748546,0
1.2.826.0.1.3680043.8.498.10491012711700179118010977263805828326,2
1.2.826.0.1.3680043.8.498.10492484093480313596330475837639172625,0
1.2.826.0.1.3680043.8.498.10495281520660483987888839682017074584,2
1.2.826.0.1.3680043.8.498.10495855084258410825408867079175646590,3
1.2.826.0.1.3680043.8.498.10499265498716562276605625682538326716,0
1.2.826.0.1.3680043.8.498.10501068619333941198079851978532746117,3
1.2.826.0.1.3680043.8.498.10502440129091559437492859441158882078,1
1.2.826.0.1.3680043.8.498.10505282086293876725410939800054491454,0
1.2.826.0.1.3680043.8.498.10511712617129216774539441890488742560,4
1.2.826.0.1.3680043.8.498.10512466806929129734785318932315918522,0
1.2.826.0.1.3680043.8.498.10519480654942067141173172019311858213,0
1.2.826.0.1.3680043.8.498.10519566075312736546346469231439794627,0
1.2.826.0.1.3680043.8.498.10521372086358356219840179458708706015,4
1.2.826.0.1.3680043.8.498.10522585237725235866013737575867341946,0
1.2.826.0.1.3680043.8.498.10524164196949381411165626176732559196,1
1.2.826.0.1.3680043.8.498.10530226787566708645477257565528473018,2
1.2.826.0.1.3680043.8.498.10532708800468111850607752497432656694,3
1.2.826.0.1.3680043.8.498.10533568124272062696642461303295694739,3
1.2.826.0.1.3680043.8.498.10534260101860670685224894870019533364,3
1.2.826.0.1.3680043.8.498.10536557774352716497356905292652597953,0
1.2.826.0.1.3680043.8.498.10537503354035115750949427337500909327,1
1.2.826.0.1.3680043.8.498.10538502578022388392340022120166213828,1
1.2.826.0.1.3680043.8.498.10540882690103231159064894952851205573,3
1.2.826.0.1.3680043.8.498.10540980111087702906123811593906850156,2
1.2.826.0.1.3680043.8.498.10541029960718591409318399557079055927,4
